file_name,fold1,fold2,fold3,start,end,stutter
HeStutters_1_0.wav,stutter_audio,HeStutters,1,2152480,2200480,1
HeStutters_1_1.wav,stutter_audio,HeStutters,1,27906400,27954400,1
HeStutters_1_10.wav,stutter_audio,HeStutters,1,29077440,29125440,1
HeStutters_1_100.wav,stutter_audio,HeStutters,1,40669920,40717920,1
HeStutters_1_101.wav,stutter_audio,HeStutters,1,40904160,40952160,1
HeStutters_1_102.wav,stutter_audio,HeStutters,1,40941760,40989760,1
HeStutters_1_103.wav,stutter_audio,HeStutters,1,41236960,41284960,1
HeStutters_1_104.wav,stutter_audio,HeStutters,1,41306560,41354560,1
HeStutters_1_105.wav,stutter_audio,HeStutters,1,6492320,6540320,1
HeStutters_1_106.wav,stutter_audio,HeStutters,1,6530560,6578560,1
HeStutters_1_107.wav,stutter_audio,HeStutters,1,6638560,6686560,1
HeStutters_1_108.wav,stutter_audio,HeStutters,1,6675360,6723360,1
HeStutters_1_109.wav,stutter_audio,HeStutters,1,6978880,7026880,1
HeStutters_1_11.wav,stutter_audio,HeStutters,1,29396960,29444960,1
HeStutters_1_110.wav,stutter_audio,HeStutters,1,7013120,7061120,1
HeStutters_1_111.wav,stutter_audio,HeStutters,1,7108160,7156160,1
HeStutters_1_112.wav,stutter_audio,HeStutters,1,7141120,7189120,1
HeStutters_1_113.wav,stutter_audio,HeStutters,1,7456800,7504800,1
HeStutters_1_114.wav,stutter_audio,HeStutters,1,7494880,7542880,1
HeStutters_1_115.wav,stutter_audio,HeStutters,1,2648640,2696640,1
HeStutters_1_116.wav,stutter_audio,HeStutters,1,2704800,2752800,1
HeStutters_1_117.wav,stutter_audio,HeStutters,1,7921280,7969280,1
HeStutters_1_118.wav,stutter_audio,HeStutters,1,7956000,8004000,1
HeStutters_1_119.wav,stutter_audio,HeStutters,1,8123040,8171040,1
HeStutters_1_12.wav,stutter_audio,HeStutters,1,29445280,29493280,1
HeStutters_1_120.wav,stutter_audio,HeStutters,1,8170240,8218240,1
HeStutters_1_121.wav,stutter_audio,HeStutters,1,8976480,9024480,1
HeStutters_1_122.wav,stutter_audio,HeStutters,1,9014560,9062560,1
HeStutters_1_123.wav,stutter_audio,HeStutters,1,9140640,9188640,1
HeStutters_1_124.wav,stutter_audio,HeStutters,1,9187840,9235840,1
HeStutters_1_125.wav,stutter_audio,HeStutters,1,9227520,9275520,1
HeStutters_1_126.wav,stutter_audio,HeStutters,1,9375360,9423360,1
HeStutters_1_127.wav,stutter_audio,HeStutters,1,9410720,9458720,1
HeStutters_1_128.wav,stutter_audio,HeStutters,1,9708320,9756320,1
HeStutters_1_129.wav,stutter_audio,HeStutters,1,9746240,9794240,1
HeStutters_1_13.wav,stutter_audio,HeStutters,1,29497920,29545920,1
HeStutters_1_130.wav,stutter_audio,HeStutters,1,10119040,10167040,1
HeStutters_1_131.wav,stutter_audio,HeStutters,1,10160800,10208800,1
HeStutters_1_132.wav,stutter_audio,HeStutters,1,10280320,10328320,1
HeStutters_1_133.wav,stutter_audio,HeStutters,1,10518720,10566720,1
HeStutters_1_134.wav,stutter_audio,HeStutters,1,10564160,10612160,1
HeStutters_1_135.wav,stutter_audio,HeStutters,1,2934400,2982400,1
HeStutters_1_136.wav,stutter_audio,HeStutters,1,2978720,3026720,1
HeStutters_1_137.wav,stutter_audio,HeStutters,1,12466240,12514240,1
HeStutters_1_138.wav,stutter_audio,HeStutters,1,12512000,12560000,1
HeStutters_1_139.wav,stutter_audio,HeStutters,1,12786880,12834880,1
HeStutters_1_14.wav,stutter_audio,HeStutters,1,29571040,29619040,1
HeStutters_1_140.wav,stutter_audio,HeStutters,1,12821920,12869920,1
HeStutters_1_141.wav,stutter_audio,HeStutters,1,12866400,12914400,1
HeStutters_1_142.wav,stutter_audio,HeStutters,1,12901440,12949440,1
HeStutters_1_143.wav,stutter_audio,HeStutters,1,12980800,13028800,1
HeStutters_1_144.wav,stutter_audio,HeStutters,1,13032640,13080640,1
HeStutters_1_145.wav,stutter_audio,HeStutters,1,13221920,13269920,1
HeStutters_1_146.wav,stutter_audio,HeStutters,1,13257920,13305920,1
HeStutters_1_147.wav,stutter_audio,HeStutters,1,14344000,14392000,1
HeStutters_1_148.wav,stutter_audio,HeStutters,1,14402080,14450080,1
HeStutters_1_149.wav,stutter_audio,HeStutters,1,14726400,14774400,1
HeStutters_1_15.wav,stutter_audio,HeStutters,1,30017440,30065440,1
HeStutters_1_150.wav,stutter_audio,HeStutters,1,14758560,14806560,1
HeStutters_1_151.wav,stutter_audio,HeStutters,1,14783360,14831360,1
HeStutters_1_152.wav,stutter_audio,HeStutters,1,14980640,15028640,1
HeStutters_1_153.wav,stutter_audio,HeStutters,1,15015200,15063200,1
HeStutters_1_154.wav,stutter_audio,HeStutters,1,15070560,15118560,1
HeStutters_1_155.wav,stutter_audio,HeStutters,1,15124320,15172320,1
HeStutters_1_156.wav,stutter_audio,HeStutters,1,3482240,3530240,1
HeStutters_1_157.wav,stutter_audio,HeStutters,1,3516640,3564640,1
HeStutters_1_158.wav,stutter_audio,HeStutters,1,15173440,15221440,1
HeStutters_1_159.wav,stutter_audio,HeStutters,1,15205760,15253760,1
HeStutters_1_16.wav,stutter_audio,HeStutters,1,30052800,30100800,1
HeStutters_1_160.wav,stutter_audio,HeStutters,1,15252000,15300000,1
HeStutters_1_161.wav,stutter_audio,HeStutters,1,15289600,15337600,1
HeStutters_1_162.wav,stutter_audio,HeStutters,1,15335200,15383200,1
HeStutters_1_163.wav,stutter_audio,HeStutters,1,15381440,15429440,1
HeStutters_1_164.wav,stutter_audio,HeStutters,1,16015840,16063840,1
HeStutters_1_165.wav,stutter_audio,HeStutters,1,16053120,16101120,1
HeStutters_1_166.wav,stutter_audio,HeStutters,1,16190400,16238400,1
HeStutters_1_167.wav,stutter_audio,HeStutters,1,16223360,16271360,1
HeStutters_1_168.wav,stutter_audio,HeStutters,1,16315520,16363520,1
HeStutters_1_169.wav,stutter_audio,HeStutters,1,16348960,16396960,1
HeStutters_1_17.wav,stutter_audio,HeStutters,1,5026880,5074880,1
HeStutters_1_170.wav,stutter_audio,HeStutters,1,16463200,16511200,1
HeStutters_1_171.wav,stutter_audio,HeStutters,1,16502400,16550400,1
HeStutters_1_172.wav,stutter_audio,HeStutters,1,16672480,16720480,1
HeStutters_1_173.wav,stutter_audio,HeStutters,1,16733760,16781760,1
HeStutters_1_174.wav,stutter_audio,HeStutters,1,16794080,16842080,1
HeStutters_1_175.wav,stutter_audio,HeStutters,1,16834720,16882720,1
HeStutters_1_176.wav,stutter_audio,HeStutters,1,3907040,3955040,1
HeStutters_1_177.wav,stutter_audio,HeStutters,1,3944320,3992320,1
HeStutters_1_178.wav,stutter_audio,HeStutters,1,16874240,16922240,1
HeStutters_1_179.wav,stutter_audio,HeStutters,1,16914400,16962400,1
HeStutters_1_18.wav,stutter_audio,HeStutters,1,5063040,5111040,1
HeStutters_1_180.wav,stutter_audio,HeStutters,1,16963680,17011680,1
HeStutters_1_181.wav,stutter_audio,HeStutters,1,17010720,17058720,1
HeStutters_1_182.wav,stutter_audio,HeStutters,1,17043200,17091200,1
HeStutters_1_183.wav,stutter_audio,HeStutters,1,17106400,17154400,1
HeStutters_1_184.wav,stutter_audio,HeStutters,1,17369120,17417120,1
HeStutters_1_185.wav,stutter_audio,HeStutters,1,17402400,17450400,1
HeStutters_1_186.wav,stutter_audio,HeStutters,1,17453920,17501920,1
HeStutters_1_187.wav,stutter_audio,HeStutters,1,17499040,17547040,1
HeStutters_1_188.wav,stutter_audio,HeStutters,1,17666080,17714080,1
